GTID,Date,Country,City,Perpetrator_group,fatalities,injured,target_type,attack_type,weapon_type
202012290026,2020-12-29,Nigeria,Kayamla,Boko Haram,9,7,Terrorists/Non-state Militia,Sub-Saharan Africa,Bombing/Explosion
202012290025,2020-12-29,Nigeria,Kayamla,Boko Haram,0,0,Terrorists/Non-state Militia,Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
202012290023,2020-12-29,Nigeria,Tungushe,Boko Haram,3,2,"Private Citizens & Property,Military",Sub-Saharan Africa,Armed Assault
202012280023,2020-12-28,Nigeria,Logomani,Boko Haram,3,0,Military,Sub-Saharan Africa,Bombing/Explosion
202012270025,2020-12-27,Nigeria,Nagu,Unknown,3,Unknown,"Government (General),Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012270014,2020-12-28,Nigeria,Olukitibi,Fulani extremists,1,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012260019,2020-12-26,Cameroon,Unknown,"Return, Reclamation, Rehabilitation (3R)",Unknown,Unknown,"Police,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012260015,2020-12-26,Nigeria,Azare,Boko Haram,2,1,"Police,Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012260014,2020-12-26,Nigeria,Khiributu Debiro,Boko Haram,3,1,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012260013,2020-12-26,Nigeria,Tashon Alade,Boko Haram,2,2,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012260012,2020-12-26,Nigeria,Shaffa,Boko Haram,3,2,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012250031,2020-12-25,Cameroon,Kumbo,Separatists,2,Unknown,Business,Sub-Saharan Africa,Armed Assault
202012250030,2020-12-25,Nigeria,Fadan Kagoma,Fulani extremists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012240019,2020-12-24,Nigeria,Katsina Ala,Unknown,5,Unknown,"Government (General),Police",Sub-Saharan Africa,Assassination
202012240010,2020-12-24,Nigeria,Pemi,Boko Haram,11,Unknown,"Private Citizens & Property,Religious Figures/Institutions",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202012240009,2020-12-24,Nigeria,Garkida,Boko Haram,6,Unknown,"Private Citizens & Property,Police",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202012240008,2020-12-24,Nigeria,Gamboru,Boko Haram,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012230009,2020-12-23,Nigeria,Okene district,Unknown,2,2,Military,Sub-Saharan Africa,Armed Assault
202012230008,2020-12-23,Nigeria,Dar,Boko Haram,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012210026,2020-12-21,Niger,Taroum,Islamic State in the Greater Sahara (ISGS),18,3,Military,Sub-Saharan Africa,Armed Assault
202012210023,2020-12-21,Nigeria,Malamai,Fulani extremists,Unknown,Unknown,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202012200022,2020-12-20,Nigeria,Funtua,Unknown,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202012200021,2020-12-19,Nigeria,Dandume district,Fulani extremists,0,0,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012200017,2020-12-20,Nigeria,Mafa,Boko Haram,5,0,Military,Sub-Saharan Africa,Bombing/Explosion
202012190023,2020-12-19,Nigeria,Danbaure,Fulani extremists,0,0,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Facility/Infrastructure Attack"
202012190018,2020-12-19,Nigeria,Ajiri,Boko Haram,10,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202012180012,2020-12-18,Nigeria,Konduga,Boko Haram,4,2,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
202012180010,2020-12-18,Nigeria,Garin Kuturu,Boko Haram,1,4,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202012170036,2020-12-17,Nigeria,Kusur,Boko Haram (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202012170035,2020-12-15,Ghana,Accra,Unknown,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202012170026,2020-12-17,Nigeria,Gora Gan,Fulani extremists,7,1,"Business,Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012170018,2020-12-17,Nigeria,Funtua district,Unknown,8,0,"Private Citizens & Property,Police",Sub-Saharan Africa,Assassination
202012160030,2020-12-16,Nigeria,Oba,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202012150031,2020-12-15,Nigeria,Ogoja,Fulani extremists,0,1,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012150026,2020-12-15,Nigeria,Agboughul,Fulani extremists,3,3,Business,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012140035,2020-12-14,Nigeria,Gumsa,Boko Haram (suspected),Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
